shape	x	y	rot_z	len	width	height	radius
Cube	0.0110	-0.0097	-0.2255	0.0896	0.0841	0.0608	0.0
Cube	-0.0016	0.0064	0.1014	0.0706	0.0841	0.0487	0.0
Cube	-0.0325	-0.0495	0.4536	0.0317	0.0379	0.0972	0.0
Cube	-0.0288	0.0093	0.5507	0.0488	0.0569	0.0769	0.0
Cube	0.0223	-0.0200	-0.7551	0.0618	0.0461	0.0860	0.0
Cube	-0.0277	-0.0190	0.0749	0.0952	0.0794	0.0376	0.0
Cube	-0.0221	0.0507	-0.0950	0.0334	0.0466	0.0391	0.0
Cube	0.0237	-0.0237	-0.1613	0.0748	0.0701	0.0954	0.0
Cube	-0.0229	-0.0395	0.4494	0.0738	0.0436	0.0950	0.0
Cube	0.0227	0.0329	-0.5349	0.0808	0.0826	0.0865	0.0
Cube	0.0348	-0.0281	0.0464	0.0574	0.0799	0.0421	0.0
Cube	-0.0305	-0.0568	-0.2217	0.0979	0.0329	0.0595	0.0
Cube	0.0265	-0.0037	-0.2351	0.0916	0.0578	0.0875	0.0
Cube	-0.0354	0.0723	-0.1592	0.0593	0.0411	0.0511	0.0
Cube	0.0195	0.0169	0.7000	0.0707	0.0600	0.0793	0.0
Cube	-0.0105	0.0629	-0.3936	0.0700	0.0520	0.0687	0.0
Cube	-0.0518	-0.0319	-0.0685	0.0569	0.0790	0.0989	0.0
Cube	0.0396	0.0000	-0.6657	0.0639	0.0437	0.0827	0.0
Cube	-0.0015	0.0489	-0.4121	0.0363	0.0346	0.0789	0.0
Cube	0.0131	0.0364	0.3261	0.0988	0.0935	0.0855	0.0
Cube	-0.0494	-0.0383	-0.0883	0.0589	0.0326	0.0382	0.0
Cube	0.0130	-0.0109	0.6659	0.0572	0.0702	0.0896	0.0
Cube	-0.0044	0.0167	-0.6214	0.0386	0.0362	0.0998	0.0
Cube	0.0001	0.0613	0.6769	0.0573	0.0576	0.0313	0.0
Cube	-0.0495	-0.0091	0.6512	0.0639	0.0785	0.0613	0.0
Cube	0.0394	-0.0283	-0.1031	0.0384	0.0388	0.0309	0.0
Cube	0.0336	-0.0226	-0.3675	0.0902	0.0576	0.0917	0.0
Cube	0.0161	-0.0099	-0.4303	0.0550	0.0781	0.0677	0.0
Cube	-0.0115	0.0212	0.6101	0.0849	0.0638	0.0878	0.0
Cube	0.0148	0.0205	0.2499	0.0991	0.0903	0.0468	0.0
Sphere	0.0083	0.0264	0.0	0.0	0.0	0.0	0.0954
Sphere	-0.0245	-0.0075	0.0	0.0	0.0	0.0	0.0692
Sphere	-0.0420	0.0363	0.0	0.0	0.0	0.0	0.0675
Sphere	-0.0122	-0.0013	0.0	0.0	0.0	0.0	0.0913
Sphere	-0.0261	-0.0246	0.0	0.0	0.0	0.0	0.0906
Sphere	-0.0150	0.0741	0.0	0.0	0.0	0.0	0.0759
Sphere	-0.0162	0.0054	0.0	0.0	0.0	0.0	0.0504
Sphere	0.0039	0.0025	0.0	0.0	0.0	0.0	0.0472
Sphere	-0.0569	0.0140	0.0	0.0	0.0	0.0	0.0670
Sphere	-0.0347	0.0048	0.0	0.0	0.0	0.0	0.0642
Cyl	0.0079	-0.0022	0.7749	0.0	0.0	0.0595	0.0649
Cyl	-0.0348	0.0800	0.6712	0.0	0.0	0.0731	0.0440
Cyl	-0.0316	0.0399	-0.1394	0.0	0.0	0.0404	0.0520
Cyl	-0.0019	-0.0292	0.1498	0.0	0.0	0.0680	0.0438
Cyl	0.0092	0.0192	0.1174	0.0	0.0	0.0743	0.0930
Cyl	-0.0109	-0.0029	-0.0463	0.0	0.0	0.0513	0.0640
Cyl	-0.0087	0.0292	-0.3174	0.0	0.0	0.0701	0.0922
Cyl	-0.0195	0.0037	-0.5012	0.0	0.0	0.0356	0.0464
Cyl	-0.0098	-0.0366	0.1722	0.0	0.0	0.0764	0.0649
Cyl	0.0233	0.0224	-0.1074	0.0	0.0	0.0758	0.0648
